id,fact,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
36,1.0,-0.8320032954216003,-0.883952260017395,[0.774097740650177],[0.5354368090629578],[0.6330194473266602],[0.98],[0.26063829787234044],[0.4117647025633784],[0.9206349206349206],[0.1901639344262295],[0.31521738846659386],[0.98],[0.26063829787234044],[0.4117647025633784],[0.12852954404451908],[9.966150368347767e-232],[0.16572480715704263],0.9447795603103104,0.5355716715541875,0.7227541248089674,0.3163710759159775,0.5248989574263775
37,0.6666666666666666,-1.8099764585494995,-1.5550522804260254,[0.7423739433288574],[0.4500182271003723],[0.5603556036949158],[0.9705882352941176],[0.16751269035532995],[0.28571428320383807],[0.7027027027027027],[0.07692307692307693],[0.13866666488803556],[0.9705882352941176],[0.16751269035532995],[0.28571428320383807],[0.07581270504026244],[1.0181865532756278e-231],[0.052885032016208644],0.8318578253069363,0.8546506263436509,0.8933212584592113,0.774723570782415,0.8408984851950924
38,0.6666666666666666,-0.5803908705711365,-0.7601360082626343,[0.7990545034408569],[0.591839075088501],[0.6800113320350647],[0.9836065573770492],[0.34285714285714286],[0.5084745724378771],[0.9390243902439024],[0.240625],[0.3830845738669835],[0.9836065573770492],[0.34285714285714286],[0.5084745724378771],[0.1739970305960368],[8.920126462175827e-232],[0.2901857949965829],0.9260961485238824,0.9623785551717204,0.9267158876552761,0.7504152618601762,0.8798365682290575
39,1.0,-0.4365284740924835,-0.3262899518013,[0.7774906158447266],[0.5688962340354919],[0.6570347547531128],[0.9807692307692307],[0.3148148148148148],[0.47663551033976775],[0.9322033898305084],[0.1950354609929078],[0.32258064229960187],[0.9807692307692307],[0.3148148148148148],[0.47663551033976775],[0.12888404092601508],[9.631763962281371e-232],[0.2658103367090493],0.96807303887052,0.9809436818326777,0.9583759765743779,0.5550903525992538,0.8314700036687698
40,1.0,-0.7005214095115662,-0.7045894265174866,[0.789761483669281],[0.5201481580734253],[0.6272081136703491],[0.96],[0.26519337016574585],[0.4155844121924252],[0.9047619047619048],[0.18152866242038215],[0.30238726512084096],[0.96],[0.26519337016574585],[0.4155844121924252],[0.13230876379309137],[8.972141065609098e-232],[0.25577088349642907],0.9850988588054804,0.9805361111176925,0.962409955108883,0.9474840397929393,0.9634767020065049
41,0.0,-2.0048367977142334,-2.1553432941436768,[0.7253991365432739],[0.4864485263824463],[0.5823658108711243],[0.8787878787878788],[0.1695906432748538],[0.2843137227782584],[0.6176470588235294],[0.08433734939759036],[0.14840989187878487],[0.8787878787878788],[0.1695906432748538],[0.2843137227782584],[0.11264123285454562],[7.337741777064293e-232],[0.1440316318403133],0.4801654865869335,0.7052960079785354,0.5492793421976374,0.8940182985646886,0.7161978829136205
42,1.0,-1.2021698951721191,-0.9906705617904664,[0.7948433756828308],[0.5387303829193115],[0.6421935558319092],[1.0],[0.2681564245810056],[0.422907485651963],[0.9310344827586207],[0.1641337386018237],[0.2790697648936696],[1.0],[0.2681564245810056],[0.422907485651963],[0.12852313437836274],[9.181748633447778e-232],[0.14965716295503195],0.9687448433709012,0.948170559616144,0.9405158763639928,0.8749419358682595,0.9212094572827988
43,1.0,-0.7704700827598572,-0.6499747633934021,[0.7389875650405884],[0.5154663324356079],[0.6073132157325745],[0.9565217391304348],[0.22448979591836735],[0.36363636055733906],[0.88],[0.13664596273291926],[0.2365591374580877],[0.9565217391304348],[0.22448979591836735],[0.36363636055733906],[0.12271541213196573],[1.0003688322288243e-231],[0.19378493914807726],0.8559575148791398,0.7134391527705614,0.947521260971115,0.881625691072626,0.8475287016047673
44,1.0,-0.5361959934234619,-0.3706617355346679,[0.8445371389389038],[0.5535750389099121],[0.6687799692153931],[0.9821428571428571],[0.275],[0.42968749658203126],[0.9552238805970149],[0.21694915254237288],[0.35359115720445045],[0.9821428571428571],[0.275],[0.42968749658203126],[0.18270281004865455],[8.844844403089351e-232],[0.20698696869572097],0.979331114888053,0.9592675839180473,0.9586926956471556,0.9233212364048585,0.9470938386566871
45,1.0,-0.2834881246089935,-0.3102624714374542,[0.8274226188659668],[0.5623340606689453],[0.669596254825592],[0.9818181818181818],[0.3103448275862069],[0.4716157168742015],[0.9571428571428572],[0.209375],[0.343589740644313],[0.9818181818181818],[0.3103448275862069],[0.4716157168742015],[0.13588311432267716],[9.28844245215026e-232],[0.22613294057706168],0.9826212177018948,0.98571539400347,0.9615613068629618,0.9345274839562548,0.9606013949408956
46,1.0,-1.0663750171661377,-0.9907179474830629,[0.7999930381774902],[0.4939786195755005],[0.6108008027076721],[0.9696969696969697],[0.19631901840490798],[0.32653060944450235],[0.8235294117647058],[0.10108303249097472],[0.1800643067342149],[0.9696969696969697],[0.19631901840490798],[0.32653060944450235],[0.10686962572550925],[8.726094729337945e-232],[0.13291869282911206],0.911131155029107,0.9812690635105451,0.9649327553801341,0.8211741869453449,0.9224586686120081
47,0.6666666666666666,-1.121304631233215,-0.8116320371627808,[0.7333858013153076],[0.5358843803405762],[0.6192692518234253],[0.975609756097561],[0.26143790849673204],[0.4123711306871082],[0.8958333333333334],[0.1634980988593156],[0.2765273285793158],[0.975609756097561],[0.26143790849673204],[0.4123711306871082],[0.11118861769110801],[9.594503055152632e-232],[0.22541070089060622],0.8967739981077821,0.8154843248133448,0.8884013224022725,0.4111086619995404,0.7049981030717193
48,1.0,-0.8856926560401917,-1.0523608922958374,[0.7375569343566895],[0.5007624626159668],[0.5965195298194885],[0.9767441860465116],[0.25149700598802394],[0.39999999674331066],[0.9333333333333333],[0.1423728813559322],[0.24705882123269904],[0.9767441860465116],[0.25149700598802394],[0.39999999674331066],[0.11954483464030001],[9.738101601099279e-232],[0.16270468735679178],0.9494483662600638,0.8347934719093312,0.8844968539381496,0.8611795622153844,0.8601566293542883
49,0.6666666666666666,-2.267768383026123,-1.8151471614837649,[0.7216070890426636],[0.4849776327610016],[0.5800890922546387],[0.8205128205128205],[0.19047619047619047],[0.3091787409031716],[0.5116279069767442],[0.07457627118644068],[0.13017751257221388],[0.7948717948717948],[0.18452380952380953],[0.2995169051543794],[0.09105314893905497],[9.157231061812019e-232],[0.10260390987810908],0.7043959186678529,0.23956189289692023,0.6798784264496173,0.7985383987637286,0.5726595727034219
50,1.0,-1.5586053133010864,-1.4613304138183594,[0.7586079239845276],[0.49753135442733765],[0.6009384989738464],[0.967741935483871],[0.19480519480519481],[0.3243243215345508],[0.7941176470588235],[0.10756972111553785],[0.18947368210920285],[0.967741935483871],[0.19480519480519481],[0.3243243215345508],[0.108674673942069],[8.726094729337945e-232],[0.0999167846260185],0.9683940876688072,0.9413463198908173,0.9497431572755501,0.9411415583389321,0.9440770118350997
51,0.6666666666666666,-0.8273216485977173,-0.9248018860816956,[0.7566148042678833],[0.4670667052268982],[0.5775842666625977],[1.0],[0.22702702702702704],[0.3700440498476587],[0.9130434782608695],[0.14685314685314685],[0.2530120458056322],[1.0],[0.22702702702702704],[0.3700440498476587],[0.1442629236562821],[6.851187014592609e-232],[0.15175566060329881],0.855184985291007,0.4789299600359439,0.8869063792733615,0.6709415950389177,0.6789259781160744
52,1.0,-0.8553004860877991,-0.6204378604888916,[0.7819374203681946],[0.4890187382698059],[0.6017234325408936],[0.9655172413793104],[0.16666666666666666],[0.28426395688010514],[0.9142857142857143],[0.10810810810810811],[0.1933534724290578],[0.9655172413793104],[0.16666666666666666],[0.28426395688010514],[0.08348885706684193],[7.290245807398516e-232],[0.10840947322516781],0.9650545047575636,0.9586569248631146,0.9514092744868123,0.8919162611766684,0.933994153508865
53,0.6666666666666666,-0.9922863245010376,-0.7305419445037842,[0.7342509031295776],[0.43828392028808594],[0.5489139556884766],[0.9310344827586207],[0.1323529411764706],[0.2317596544729135],[0.8125],[0.08],[0.1456582616732968],[0.9310344827586207],[0.1323529411764706],[0.2317596544729135],[0.07229348403391528],[7.437597952034396e-232],[0.06915666430760703],0.9554871556835524,0.8262486238657882,0.8752794635867166,0.43886854087025245,0.7134655427742524
54,1.0,-1.0740880966186523,-0.8534032106399536,[0.7597382068634033],[0.4780782461166382],[0.5868629813194275],[0.9090909090909091],[0.15463917525773196],[0.2643171781319258],[0.75],[0.08206686930091185],[0.1479452037014074],[0.9090909090909091],[0.15463917525773196],[0.2643171781319258],[0.07981911489296648],[7.244248269687037e-232],[0.06443674918843079],0.988060668098272,0.9284834686842707,0.9613104807880314,0.9066428785567208,0.9321456093430077
55,0.3333333333333333,-1.2238839864730835,-0.9400078058242798,[0.7345709800720215],[0.4980613589286804],[0.5936261415481567],[0.9574468085106383],[0.3082191780821918],[0.46632123983892193],[0.8490566037735849],[0.1859504132231405],[0.3050847428150532],[0.9574468085106383],[0.3082191780821918],[0.46632123983892193],[0.13353618020288294],[1.0784850260855493e-231],[0.20261780495442294],0.8494399898657846,0.9817642836056476,0.9650231302788604,0.6503830986401595,0.8657235041748891
56,1.0,-0.4799022674560547,-0.4614103734493255,[0.8064481019973755],[0.5586931705474854],[0.6600885391235352],[1.0],[0.24390243902439024],[0.3921568595924645],[0.9795918367346939],[0.17712177121771217],[0.29999999740644534],[1.0],[0.24390243902439024],[0.3921568595924645],[0.13572810573622573],[8.886273379203676e-232],[0.17176393876755158],0.9843230364368196,0.9781175902962486,0.9596433262121367,0.8709126740123804,0.9362245301735884
57,1.0,-1.3666483163833618,-1.482722282409668,[0.7431691288948059],[0.45718032121658325],[0.5661056637763977],[0.9117647058823529],[0.16756756756756758],[0.2831050202080858],[0.8108108108108109],[0.10238907849829351],[0.18181817982718093],[0.9117647058823529],[0.16756756756756758],[0.2831050202080858],[0.1267717982731841],[8.412065649527267e-232],[0.08931627289553057],0.9573072097925038,0.7900981965509374,0.9386502323639583,0.9221196346436651,0.8836226878528536
58,1.0,-0.8898454308509827,-0.7202375531196594,[0.7910664081573486],[0.48955559730529785],[0.6048170328140259],[0.96875],[0.15656565656565657],[0.26956521499584124],[0.8571428571428571],[0.0949367088607595],[0.170940169144731],[0.96875],[0.15656565656565657],[0.26956521499584124],[0.07869424154764797],[9.594503055152632e-232],[0.14722840634900847],0.9871113586473907,0.9662796260982555,0.9501687122918576,0.945609281189868,0.9540192065266604
59,0.3333333333333333,-0.8320170044898987,-0.9411736130714417,[0.6908401846885681],[0.5057885646820068],[0.5840057730674744],[1.0],[0.18888888888888888],[0.31775700667307194],[0.9761904761904762],[0.13099041533546327],[0.23098591340670507],[1.0],[0.18888888888888888],[0.31775700667307194],[0.09887278582930757],[8.231055179516831e-232],[0.19821787176722805],0.5390003023082727,0.9090785315797306,0.8669601772447878,0.9041963060809382,0.8934116716351522
