id,fact,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
10,1.0,-1.4103546142578125,-1.78191876411438,[0.6899352669715881],[0.4070333242416382],[0.5120049118995667],[0.7692307692307693],[0.03816793893129771],[0.07272727182651241],[0.4166666666666667],[0.011111111111111112],[0.02164502113903414],[0.7692307692307693],[0.03816793893129771],[0.07272727182651241],[0.012906001290600131],[9.418382295637229e-232],[-0.09727447470078343],0.8839561738899314,0.9201555852010027,0.9135456543971973,0.9307115248460062,0.9214709214814021
11,0.0,-1.7587774991989136,-1.6776143312454224,[0.7408810257911682],[0.4328429102897644],[0.5464404225349426],[0.9047619047619048],[0.11585365853658537],[0.20540540339284152],[0.6363636363636364],[0.050359712230215826],[0.09333333197422224],[0.8571428571428571],[0.10975609756097561],[0.19459459258203068],[0.046719514251981786],[1.0832677820940877e-231],[0.01368275340808478],0.7996174893248529,0.9461715628120226,0.9384160559178625,0.9053862460886065,0.9299912882728306
12,1.0,-1.3747187852859497,-1.735508680343628,[0.7529851198196411],[0.4565609395503998],[0.5684505701065063],[0.8888888888888888],[0.0893854748603352],[0.16243654656291068],[0.47058823529411764],[0.03088803088803089],[0.057971013336746494],[0.8333333333333334],[0.08379888268156424],[0.15228426229895128],[0.04427222269021613],[1.0377133938315695e-231],[0.010625254645707072],0.6451905670488082,0.6256508823293442,0.4847519574899734,0.9514647097002925,0.6872891831732034
13,1.0,-2.2741949558258057,-2.653721332550049,[0.7207391858100891],[0.42073169350624084],[0.5313106775283813],[0.8888888888888888],[0.06130268199233716],[0.11469533929471616],[0.47058823529411764],[0.01805869074492099],[0.034782607983837435],[0.7222222222222222],[0.04980842911877394],[0.09318996295063013],[0.02607489924602967],[1.0377133938315695e-231],[-0.044794750622389135],0.9847946227983444,0.9480491407643996,0.9444957448648814,0.5955459925126763,0.8293636260473191
14,0.0,-1.338895559310913,-2.4770314693450928,[0.7064574956893921],[0.42149198055267334],[0.5279778838157654],[0.9090909090909091],[0.09216589861751152],[0.16736401506486237],[0.5217391304347826],[0.030226700251889168],[0.05714285610759639],[0.8181818181818182],[0.08294930875576037],[0.15062761339122216],[0.037511016451233836],[1.1522277201606316e-231],[0.018848346447997377],0.8864280775055448,0.8306500709221951,0.6943826076129007,0.9587445272630429,0.8279257352660463
15,1.0,-2.0660064220428467,-2.1084296703338623,[0.6722047924995422],[0.4056977331638336],[0.5060048699378967],[0.7368421052631579],[0.06542056074766354],[0.12017167232183314],[0.3333333333333333],[0.016304347826086956],[0.031088082012403043],[0.7368421052631579],[0.06542056074766354],[0.12017167232183314],[0.034905368795427404],[1.1337861261109773e-231],[-0.06668197779596041],0.7944440501255173,0.8741483282712456,0.8449805249729265,0.9230211898481868,0.8807166810307864
16,1.0,-2.127703666687012,-2.064348697662353,[0.6933565139770508],[0.3622302711009979],[0.47585800290107727],[0.75],[0.03260869565217391],[0.062499999201388885],[0.2727272727272727],[0.006772009029345372],[0.013215858557996485],[0.75],[0.03260869565217391],[0.062499999201388885],[0.01790595678659941],[1.1409851298103347e-231],[-0.12553590685798244],0.9860479312565424,0.8439787457383225,0.8760385373651868,0.9483955515791499,0.8894709448942199
17,0.0,-2.0283427238464355,-1.96265172958374,[0.6783180236816406],[0.42527756094932556],[0.5227882862091064],[0.7586206896551724],[0.08695652173913043],[0.15602836694909714],[0.4],[0.028368794326241134],[0.0529801312135433],[0.7241379310344828],[0.08300395256916997],[0.14893616836753687],[0.03685782226400485],[9.109159947227211e-232],[0.027240962829153226],0.1764318220800375,0.9382066801915401,0.9277336673897446,0.91591504982721,0.9272851324694983
18,0.0,-2.0420546531677246,-1.6334296464920044,[0.6824095249176025],[0.40785324573516846],[0.5105612277984619],[0.8571428571428571],[0.09574468085106383],[0.1722488020201003],[0.38095238095238093],[0.025157232704402517],[0.047197638955804457],[0.8571428571428571],[0.09574468085106383],[0.1722488020201003],[0.03710948905109489],[1.1764984582435574e-231],[-0.16357901214174775],0.5188141440723238,0.6485068753689415,0.7530176911576935,0.9326746878529244,0.7780664181265197
19,1.0,-2.371533155441284,-2.156576633453369,[0.6774030327796936],[0.3665200471878052],[0.47567063570022583],[0.9230769230769231],[0.0670391061452514],[0.1249999987375217],[0.5],[0.019867549668874173],[0.03821655977443305],[0.9230769230769231],[0.0670391061452514],[0.1249999987375217],[0.026384060852499384],[9.418382295637229e-232],[-0.09477079756845708],0.9787274010605436,0.9176961728150533,0.9271582576692885,0.48478822439433983,0.7765475516262272
20,1.0,-1.690751552581787,-1.4764502048492432,[0.7608482837677002],[0.45811954140663147],[0.5718927979469299],[0.8636363636363636],[0.13286713286713286],[0.2303030279919192],[0.36363636363636365],[0.03389830508474576],[0.06201550231596663],[0.7727272727272727],[0.11888111888111888],[0.20606060374949495],[0.05085010731971133],[1.2882297539194154e-231],[0.019946303124890208],0.9488873906197518,0.9694475644335704,0.9672633515005271,0.9093345897638391,0.9486818352326455
21,1.0,-1.0836987495422363,-1.078665018081665,[0.7865720987319946],[0.3837186098098755],[0.5158075094223022],[1.0],[0.07650273224043716],[0.14213197837511918],[0.7692307692307693],[0.03278688524590164],[0.06289308097682055],[1.0],[0.07650273224043716],[0.14213197837511918],[0.04498507986659645],[9.257324954728539e-232],[-0.06205310707190814],0.9626992288227068,0.9731955696617031,0.972095312668628,0.9546933540899178,0.9666614121400828
22,0.0,-2.007829666137696,-2.081512689590454,[0.689044713973999],[0.3973466157913208],[0.5040349364280701],[0.875],[0.05714285714285714],[0.10727969233569677],[0.2],[0.006802721088435374],[0.013157894100588674],[0.8125],[0.053061224489795916],[0.09961685708665463],[0.02066374505820338],[1.0669733992029681e-231],[-0.08746074885689104],0.7765299762577206,0.9474014829833499,0.9425116007465194,0.9470612486979084,0.9456581108092591
23,1.0,-1.2789291143417358,-1.7007898092269895,[0.7520129680633545],[0.441663920879364],[0.5564939379692078],[0.9444444444444444],[0.07488986784140969],[0.13877550884264894],[0.5263157894736842],[0.024390243902439025],[0.046620045773496134],[0.9444444444444444],[0.07488986784140969],[0.13877550884264894],[0.02836354069286615],[8.510469113101058e-232],[0.004789598930752148],0.9227881590240944,0.9695064758041058,0.9681346185779949,0.9520343821512717,0.9632251588444575
24,0.0,-1.238272786140442,-1.4269797801971436,[0.7638724446296692],[0.38610023260116577],[0.5129362344741821],[0.9333333333333333],[0.05054151624548736],[0.09589040998428411],[0.5714285714285714],[0.015904572564612324],[0.030947775101706394],[0.9333333333333333],[0.05054151624548736],[0.09589040998428411],[0.0227535646618733],[1.1988328686372911e-231],[-0.08506358571509054],0.982382013853588,0.9696385696817876,0.9656026467730231,0.9602102701086347,0.9651504955211485
25,0.0,-1.884924054145813,-1.869778394699097,[0.6436592936515808],[0.41662395000457764],[0.5058344602584839],[0.6666666666666666],[0.07453416149068323],[0.1340782104815705],[0.16666666666666666],[0.01107011070110701],[0.020761244506651087],[0.6666666666666666],[0.07453416149068323],[0.1340782104815705],[0.023748629886737305],[1.1484186507842885e-231],[-0.059846077605415715],0.508279397002717,0.7878906539238871,0.7693919155187032,0.8625049777818521,0.8065958490748141
26,1.0,-2.460348129272461,-2.123526334762573,[0.6410281658172607],[0.39179757237434387],[0.48634207248687744],[0.75],[0.043478260869565216],[0.0821917797860762],[0.125],[0.004106776180698152],[0.007952285666359743],[0.75],[0.043478260869565216],[0.0821917797860762],[0.018835241491491492],[1.0518351895246305e-231],[-0.057162272796833946],0.9463689315832564,0.9266071460476047,0.9360079243011592,0.9564545337947035,0.9396898680478225
27,0.0,-1.97074031829834,-1.3557595014572144,[0.6845183372497559],[0.4158589243888855],[0.5173916816711426],[0.9411764705882353],[0.07729468599033816],[0.14285714145448028],[0.7647058823529411],[0.03651685393258427],[0.06970509296379619],[0.9411764705882353],[0.07729468599033816],[0.14285714145448028],[0.03219132399580764],[1.0377133938315695e-231],[-0.04987909732963747],0.058867655094076,0.8144913156127308,0.7485578607656319,0.956277965162563,0.8397757138469752
28,0.0,-2.173917770385742,-2.4789609909057617,[0.722116231918335],[0.46805644035339355],[0.5679699182510376],[0.6818181818181818],[0.0872093023255814],[0.1546391732468913],[0.4090909090909091],[0.02922077922077922],[0.054545453301010134],[0.6818181818181818],[0.0872093023255814],[0.1546391732468913],[0.03431491571828525],[1.0832677820940877e-231],[0.005908305818179693],0.1921472748235052,0.585323104030366,0.4789157247708806,0.9520162076367572,0.6720850121460012
29,1.0,-1.5669636726379397,-1.0232064723968506,[0.7227724194526672],[0.39469945430755615],[0.5105772614479065],[1.0],[0.06224066390041494],[0.11718749889678957],[0.6428571428571429],[0.01991150442477876],[0.03862660885925326],[1.0],[0.06224066390041494],[0.11718749889678957],[0.01958410309117402],[1.0832677820940877e-231],[-0.0958520272117298],0.8855160383339039,0.9625649906346222,0.9545631961397737,0.9495249377771329,0.9555510415171762
30,0.0,-1.4440463781356812,-1.359026312828064,[0.6603758335113525],[0.4158000946044922],[0.5102963447570801],[0.9545454545454546],[0.09210526315789473],[0.16799999839488003],[0.5238095238095238],[0.024774774774774775],[0.0473118270945543],[0.9545454545454546],[0.09210526315789473],[0.16799999839488003],[0.021960471151926533],[8.319100378795605e-232],[0.04568430640925292],0.0044357549261434,0.8700197025278901,0.8039209246537559,0.9341056368360103,0.8693487546725521
31,0.0,-2.13701605796814,-2.237259864807129,[0.6423409581184387],[0.3675900101661682],[0.46759259700775146],[0.5384615384615384],[0.03349282296650718],[0.06306306196047401],[0.3333333333333333],[0.012232415902140673],[0.02359881937609316],[0.5384615384615384],[0.03349282296650718],[0.06306306196047401],[0.01558117793705204],[1.1200407237786664e-231],[-0.12456967120536055],0.9221265320385126,0.9073881420707608,0.9053825920954571,0.9320004434916142,0.9149237258859441
32,0.0,-2.9392664432525635,-2.99224853515625,[0.6674678921699524],[0.37221306562423706],[0.4779163599014282],[0.7333333333333333],[0.046610169491525424],[0.08764940126664658],[0.17647058823529413],[0.006711409395973154],[0.012931033776846798],[0.6666666666666666],[0.0423728813559322],[0.07968127377660672],[0.019314867047563945],[1.0377133938315695e-231],[-0.146781893578664],0.5106904865490313,0.6691244406088646,0.7659201400302952,0.9344610725300355,0.7898352177230651
33,1.0,-2.244640588760376,-2.619180917739868,[0.685180127620697],[0.4679502248764038],[0.5561040043830872],[0.8695652173913043],[0.14388489208633093],[0.2469135778105472],[0.2727272727272727],[0.025974025974025976],[0.047430828451624045],[0.8260869565217391],[0.1366906474820144],[0.2345678987982015],[0.05164374552129656],[1.0832677820940877e-231],[0.07946550250355355],0.8707100672837121,0.9497280894192476,0.9497674711535339,0.9633026314432678,0.9542660640053496
34,1.0,-1.95761787891388,-1.810478568077088,[0.6607962846755981],[0.4223287105560303],[0.5153112411499023],[0.9444444444444444],[0.07024793388429752],[0.13076922948047337],[0.5294117647058824],[0.02102803738317757],[0.040449437467390485],[0.9444444444444444],[0.07024793388429752],[0.13076922948047337],[0.02011622708985248],[1.1484186507842885e-231],[-0.059033373340363404],0.9286736243835176,0.9696464735414744,0.9647443872690601,0.937307832609328,0.9572328978066208
35,1.0,-0.9902827739715576,-1.4864006042480469,[0.7294224500656128],[0.40278372168540955],[0.5189858078956604],[0.9285714285714286],[0.06806282722513089],[0.12682926702010708],[0.5714285714285714],[0.025157232704402517],[0.04819277027652781],[0.7142857142857143],[0.05235602094240838],[0.09756097433718025],[0.037190309518907415],[9.109159947227211e-232],[-0.050040581969438946],0.9870572870744028,0.9623298725965291,0.9633317855536676,0.9392515002019531,0.95497105278405
36,0.0,-1.9654779434204104,-1.6072551012039185,[0.6791965961456299],[0.4217608869075775],[0.5203807353973389],[0.9411764705882353],[0.07017543859649122],[0.1306122436064973],[0.6470588235294118],[0.027918781725888325],[0.05352797974224638],[0.8823529411764706],[0.06578947368421052],[0.12244897830037485],[0.025717624972952876],[1.0377133938315695e-231],[-0.06367137864465322],0.0002710574190028,0.43338237278232794,0.27932337890204495,0.9396433793574172,0.5507830436805966
37,0.0,-1.0762526988983154,-1.044169783592224,[0.7524522542953491],[0.4834595322608948],[0.5886830687522888],[0.9],[0.11612903225806452],[0.20571428368979597],[0.6818181818181818],[0.0635593220338983],[0.11627906820743947],[0.9],[0.11612903225806452],[0.20571428368979597],[0.05936121613106492],[8.231055179516831e-232],[0.09026697060648814],0.7276625104006496,0.9825100703678286,0.98027743377347,0.9478683375695598,0.9702186139036195
38,1.0,-2.119678735733032,-2.501551389694214,[0.7170279622077942],[0.3965003490447998],[0.5106324553489685],[0.8461538461538461],[0.06395348837209303],[0.11891891761227175],[0.5],[0.02112676056338028],[0.04054053976260045],[0.8461538461538461],[0.06395348837209303],[0.11891891761227175],[0.02389078498293515],[9.418382295637229e-232],[-0.10285639470757224],0.9889627313530692,0.9633900340540495,0.9647800504418107,0.967003823201345,0.9650579692324017
39,0.0,-1.4946144819259644,-1.667598009109497,[0.6716405153274536],[0.39693814516067505],[0.4989800751209259],[0.9473684210526315],[0.07692307692307693],[0.14229248872939743],[0.5714285714285714],[0.02696629213483146],[0.0515021450620752],[0.7894736842105263],[0.0641025641025641],[0.11857707370963459],[0.03301660249579157],[1.0948551819675659e-231],[-0.05786894703463452],0.259946645958703,0.5442552668846886,0.4722169933403185,0.9201743974555513,0.6455488858935196
40,0.0,-1.4463582038879397,-1.7136313915252686,[0.6667638421058655],[0.46910667419433594],[0.550737738609314],[0.6818181818181818],[0.08670520231213873],[0.15384615184431297],[0.09090909090909091],[0.007168458781362007],[0.013289035189898706],[0.6363636363636364],[0.08092485549132948],[0.14358974158790272],[0.03430841459010473],[9.788429383461836e-232],[-0.006215244974102863],0.6615893944993503,0.8844529416874094,0.8294548231448559,0.9414494552144141,0.8851190733488932
41,1.0,-1.7711042165756226,-1.8699710369110107,[0.690793514251709],[0.41184189915657043],[0.5160322189331055],[0.8],[0.054982817869415807],[0.10289388947177966],[0.2857142857142857],[0.012244897959183673],[0.023483365160979035],[0.6],[0.041237113402061855],[0.07717041680296938],[0.025778652427819397],[9.893133360884868e-232],[-0.0665110195843921],0.909690103543652,0.9136814062907026,0.9050754795045656,0.9172077294092816,0.9119882050681833
42,0.0,-2.460132837295532,-2.371711492538452,[0.7120651602745056],[0.4557878375053406],[0.55580735206604],[0.8333333333333334],[0.10416666666666667],[0.18518518320987656],[0.28],[0.022727272727272728],[0.04204204065326593],[0.625],[0.078125],[0.13888888691358026],[0.03755868544600939],[1.0518351895246305e-231],[0.039715147499758685],0.708616070606274,0.9148814997117564,0.8848854093412499,0.9533927975184887,0.9177199021904983
43,1.0,-1.933009386062622,-2.069289445877075,[0.7170203924179077],[0.40838491916656494],[0.5203819274902344],[0.9565217391304348],[0.08333333333333333],[0.15331010305527568],[0.2727272727272727],[0.012422360248447204],[0.023762375404293722],[0.9130434782608695],[0.07954545454545454],[0.14634146194029307],[0.03185815868263473],[9.788429383461836e-232],[-0.06025346184881908],0.8831547484387136,0.9395245231472574,0.9324461271100508,0.9480738141260318,0.9400148214611134
44,0.0,-2.480563879013061,-2.7313344478607178,[0.6268371939659119],[0.4053678512573242],[0.49234330654144287],[0.625],[0.04854368932038835],[0.09009008875253634],[0.0625],[0.002932551319648094],[0.005602240040173063],[0.5625],[0.043689320388349516],[0.08108107974352732],[0.024852658353495878],[1.0518351895246305e-231],[-0.0449133503360617],0.5455165039209742,0.34685951574302765,0.27492419740174096,0.8934515246167877,0.5050784125871854
45,1.0,-0.918804168701172,-1.377345085144043,[0.6516214609146118],[0.398325115442276],[0.49441981315612793],[0.7333333333333333],[0.05699481865284974],[0.10576922943093567],[0.4666666666666667],[0.021604938271604937],[0.04129793425744644],[0.7333333333333333],[0.05699481865284974],[0.10576922943093567],[0.02811274736809607],[8.972141065609098e-232],[-0.04431247437330588],0.6367683486615182,0.7305094001445518,0.6784937695495092,0.943061456488859,0.7840215420609734
46,1.0,-1.7727209329605105,-1.8020331859588623,[0.694101870059967],[0.45014262199401855],[0.546115517616272],[0.7619047619047619],[0.0975609756097561],[0.1729729709604091],[0.30434782608695654],[0.025735294117647058],[0.04745762568089633],[0.7142857142857143],[0.09146341463414634],[0.16216216014959828],[0.0566344949634341],[1.1409851298103347e-231],[-0.05259652760187561],0.5454386952412181,0.8775716348147861,0.8391670205975084,0.9292325427115191,0.8819903993746046
47,0.0,-1.639441728591919,-1.839571714401245,[0.7032370567321777],[0.44937580823898315],[0.5483500957489014],[0.782608695652174],[0.07142857142857142],[0.13090908937626447],[0.28],[0.015350877192982455],[0.029106028120556217],[0.6521739130434783],[0.05952380952380952],[0.10909090755808265],[0.03042041732517923],[1.1302704678971024e-231],[0.02237504519458866],0.7337380141017458,0.778607209824055,0.7402552651841764,0.9692939151359679,0.8293854633813997
48,1.0,-1.6160950660705566,-1.6300806999206543,[0.702594518661499],[0.3688811659812927],[0.4837699830532074],[0.9285714285714286],[0.08176100628930817],[0.15028901585352003],[0.38461538461538464],[0.020833333333333332],[0.03952569072474185],[0.9285714285714286],[0.08176100628930817],[0.15028901585352003],[0.02698620431779269],[1.1008876702055895e-231],[0.056644345972002186],0.944749138594818,0.974286706616192,0.9744425064648131,0.9364872341615579,0.961738815747521
49,0.0,-1.5346112251281738,-1.6307491064071655,[0.7420938014984131],[0.4229092001914978],[0.5387768149375916],[0.6],[0.06629834254143646],[0.11940298328259204],[0.3],[0.02],[0.03749999882812504],[0.6],[0.06629834254143646],[0.11940298328259204],[0.034508810455591954],[1.1070900996592687e-231],[-0.07412299748399831],0.4447342268215451,0.39651990689551375,0.3090218324038843,0.9555593661276065,0.5537003684756682
50,1.0,-1.295927882194519,-1.6967371702194214,[0.7245645523071289],[0.4138309955596924],[0.5267892479896545],[0.9523809523809523],[0.12422360248447205],[0.2197802177387997],[0.7142857142857143],[0.05474452554744526],[0.10169491393185867],[0.9523809523809523],[0.12422360248447205],[0.2197802177387997],[0.04909235088330186],[9.893133360884868e-232],[0.06827777319054007],0.5968127426632845,0.8895502339839247,0.9036118933777654,0.9494743916130111,0.9142121729915672
51,0.0,-1.6119167804718018,-1.7626386880874634,[0.7690957188606262],[0.4775656461715698],[0.5892437100410461],[0.7777777777777778],[0.0958904109589041],[0.17073170536287924],[0.5789473684210527],[0.04824561403508772],[0.08906882449081284],[0.7777777777777778],[0.0958904109589041],[0.17073170536287924],[0.04946638011723428],[1.012071042130996e-231],[-0.045217591600175355],0.0071837793908196,0.9089965818643551,0.874032723961027,0.9649929308926823,0.9160074122393548
52,0.0,-1.3826148509979248,-1.5592457056045532,[0.7219799160957336],[0.44623658061027527],[0.5515653491020203],[0.8636363636363636],[0.11515151515151516],[0.20320855407360808],[0.42857142857142855],[0.035856573705179286],[0.06617646916333265],[0.8181818181818182],[0.10909090909090909],[0.19251336690783263],[0.04923901481057196],[8.319100378795605e-232],[0.04966916755432793],0.2426618638654777,0.9443814590762071,0.9323997379411332,0.9292603185883708,0.9353471718685703
53,0.0,-2.088799238204956,-2.1524338722229004,[0.7211114168167114],[0.4626286029815674],[0.5636487007141113],[0.6538461538461539],[0.06159420289855073],[0.11258277988333847],[0.28],[0.013806706114398421],[0.02631578857800048],[0.6538461538461539],[0.06159420289855073],[0.11258277988333847],[0.021403953896002734],[1.2508498911928379e-231],[0.0031299811651855913],0.3503851220457187,0.17639042383893885,0.1565032558535842,0.9113077474814522,0.41473380905799173
54,1.0,-1.5762526988983154,-1.6100974082946775,[0.6996973156929016],[0.3989725112915039],[0.508178174495697],[0.9375],[0.05928853754940711],[0.1115241624499385],[0.47058823529411764],[0.017699115044247787],[0.034115137894081236],[0.8125],[0.05138339920948617],[0.09665427397410208],[0.0219018200784644],[8.726094729337945e-232],[-0.048087103537345355],0.8100741586536276,0.9621520001775032,0.9579829393301016,0.8634035242217358,0.9278461545764469
55,1.0,-1.95249617099762,-1.8929533958435056,[0.6557352542877197],[0.43655675649642944],[0.524155855178833],[0.7391304347826086],[0.0779816513761468],[0.1410788364477196],[0.25925925925925924],[0.0171990171990172],[0.03225806334929606],[0.6086956521739131],[0.06422018348623854],[0.11618257088755361],[0.03163865791298599],[9.336117803135294e-232],[-0.018855366358084602],0.9269204389986142,0.96361840432035,0.958491788023969,0.9692797809468353,0.963796657763718
56,0.0,-2.083959579467773,-1.5338436365127563,[0.6863462924957275],[0.39639097452163696],[0.5025438666343689],[0.8125],[0.04961832061068702],[0.09352517877128513],[0.4117647058823529],[0.014141414141414142],[0.027343749357986467],[0.8125],[0.04961832061068702],[0.09352517877128513],[0.017648151588333643],[1.1484186507842885e-231],[-0.05433998356726111],0.9089351311035088,0.9148921308542027,0.8977242771347225,0.9691872623133359,0.9272678901007536
57,0.0,-2.2533514499664307,-2.5598561763763428,[0.6632310152053833],[0.37021535634994507],[0.47518348693847656],[0.6666666666666666],[0.03296703296703297],[0.06282722423288836],[0.375],[0.01020408163265306],[0.019867549153107334],[0.6666666666666666],[0.03296703296703297],[0.06282722423288836],[0.01358695652173913],[1.0244914152188952e-231],[-0.19824525498102807],0.0043139711292443,0.020593585559378506,0.015457244812735874,0.9303543898926894,0.32213507342160125
58,1.0,-1.1129381656646729,-1.3897173404693604,[0.620629072189331],[0.38836193084716797],[0.4777618646621704],[0.75],[0.05106382978723404],[0.09561752868684625],[0.4666666666666667],[0.017456359102244388],[0.03365384545869546],[0.75],[0.05106382978723404],[0.09561752868684625],[0.02164937310851708],[8.972141065609098e-232],[-0.03136503025254389],0.942971157852738,0.9491065328940949,0.9474380918109869,0.9362093100260986,0.9442513115770602
59,1.0,-1.987509727478028,-2.0081350803375244,[0.6969624757766724],[0.42274194955825806],[0.526273250579834],[1.0],[0.10837438423645321],[0.1955555537912099],[0.45454545454545453],[0.027855153203342618],[0.05249343723203893],[0.9545454545454546],[0.10344827586206896],[0.186666664902321],[0.037896621583062264],[9.788429383461836e-232],[0.0017371171924006612],0.6298711877185117,0.9503525372334523,0.9315755383175524,0.9515871402838344,0.9445050719449464
