id,src,sys,refs,ref,informativeness,naturalness,quality
10,confirm(price_range='inexpensive'),Please confirm you are looking for the inexpensive range ?,"['Please confirm you are looking for something in the inexpensive price range', 'You need and inexpensive hotel , right ?', 'So you are looking for something in the inexpensive price range , is that correct ?', 'Just to make sure , you are looking for a inexpensive hotel ?', 'Can I confirm that you are looking for an inexpensive hotel ?', 'May I confirm that you did want the inexpensive price range ?', 'Do you want to confirm the price is inexpensive ?', 'And just to confirm your looking for an inexpensive hotel ?', 'Did you request inexpensive hotel -s ?']",Please confirm you are looking for something in the inexpensive price range,4.0,2.5,3.5
11,confirm(price_range='pricey'),Please confirm you are looking for the pricey range ?,"['Are you looking for a pricey hotel ?', 'Thank you , I would like to confirm that you want an pricey hotel ?', 'So , you are looking for a pricey hotel ?', 'Do you want a hotel in the pricey price range ?', 'Is your price range pricey ?', 'Can I please confirm that you are looking for a pricey hotel ?', 'Okay , just to confirm.. you need a hotel in the pricey price range ?', 'Would you like a hotel that is pricey ?', 'So you would like a pricey range ?', 'So , you are looking for something in the pricey price range ?', 'Do you want a pricey hotel ?', 'I would like to confirm that you are looking for a pricey hotel ?', 'Can I double check you are looking for the pricey range ?', 'Are you looking for pricey hotel -s ?', 'I would like to confirm that you are looking for a pricey hotel .', 'So you are looking for a hotel in the pricey prince range , is that correct ?']",Are you looking for a pricey hotel ?,3.0,6.0,3.0
12,"inform(name='balmoral hotel north no 2',accepts_credit_cards='no',price_range='inexpensive')","The balmoral hotel north no 2 is inexpensive , and does not accept credit cards .","['Balmoral hotel north no 2 does not accept price card -s and is in the inexpensive price range .', 'The balmoral hotel north no 2 does not accept credit card -s and is inexpensive .', 'The balmoral hotel north no 2 is inexpensive and does not accept credit card -s .']",Balmoral hotel north no 2 does not accept price card -s and is in the inexpensive price range .,6.0,6.0,6.0
13,"inform(name='buena vista motor inn',address='1599 lombard st')",You may find the buena vista motor inn at 1599 lombard st .,"['Buena vista motor inn is located at 1599 lombard st .', 'The address for buena vista motor inn is 1599 lombard st .', 'You can find buena vista motor inn at the address 1599 lombard st .']",Buena vista motor inn is located at 1599 lombard st .,6.0,6.0,6.0
14,"inform(name='buena vista motor inn',area='fort mason')",There is a hotel called in the buena vista motor inn and in the area of fort mason .,"['The buena vista motor inn is in the fort mason area', 'Buena vista motor inn is in the fort mason area .', 'Buena vista motor inn is in fort mason .', 'The buena vista motor inn is near fort mason .', 'Are you looking for a buena vista motor inn in the fort mason area ?', 'Near fort mason is the buena vista motor inn .', 'Buena vista motor inn is located in fort mason .', 'The buena vista motor inn is in the fort mason area .', 'I found buena vista motor inn in fort mason .']",The buena vista motor inn is in the fort mason area,5.0,3.0,4.0
15,"inform(name='buena vista motor inn',area='fort mason',has_internet='yes')",Buena vista motor inn is near fort mason has internet .,"['Buena vista motor inn in fort mason has internet .', 'The buena vista motor inn in the fort mason area has internet .', 'Buena vista motor inn in the fort mason area has internet .']",Buena vista motor inn in fort mason has internet .,4.0,3.0,3.0
16,"inform(name='buena vista motor inn',has_internet='yes',area='fort mason')",Buena vista motor inn is near fort mason has internet .,"['The buena vista motor inn near fort mason does have internet .', 'Buena vista motor inn in the fort mason area does have internet .', 'Buena vista motor inn is in fort mason and has internet .']",The buena vista motor inn near fort mason does have internet .,5.0,3.5,3.0
17,"inform(name='buena vista motor inn',phone='4159239600')",You may reach the buena vista motor inn at 4159239600 .,"['The phone number for buena vista motor inn is 4159239600 .', ""Buena vista motor inn 's phone number is 4159239600 ."", ""The buena vista motor inn 's phone number is 4159239600"", 'The phone number for buena vista motor inn is 4159239600']",The phone number for buena vista motor inn is 4159239600 .,6.0,6.0,6.0
18,"inform(name='carl hotel',address='198 carl st',phone='4156615679')","Carl hotel is located at 198 carl st , and their phone number is 4156615679 .","['The carl hotel is at 198 carl st. 4156615679 .', 'The address of carl hotel is 198 carl st. the phone number is 4156615679 .', 'The address to te carl hotel is 198 carl st. phone number is 4156615679']",The carl hotel is at 198 carl st. 4156615679 .,6.0,5.5,5.5
19,"inform(name='carl hotel',near='cole valley')",He carl hotel is located near cole valley .,"['Carl hotel is near cole valley', 'The carl hotel is located near cole valley']",Carl hotel is near cole valley,4.0,3.0,1.0
20,"inform(name='carl hotel',near='inner sunset')",He carl hotel is located near inner sunset .,"['The carl hotel is near inner sunset .', 'I found a carl hotel near the inner sunset', 'I found the carl hotel near inner sunset']",The carl hotel is near inner sunset .,6.0,6.0,2.0
21,"inform(name='carl hotel',near='inner sunset',has_internet='yes')","The carl hotel , near the inner sunset does offer internet .","['The carl hotel near inner sunset has internet .', 'The carl hotel near the inner sunset and has internet']",The carl hotel near inner sunset has internet .,6.0,4.5,4.5
22,"inform(name='carl hotel',phone='4156615679')",You may reach the carl hotel at 4156615679 .,"['Carl hotel their phone number is 4156615679', 'Carl hotel phone number 4156615679', ""The carl hotel 's phone number is 4156615679 ."", 'The carl hotel phone number is 4156615679']",Carl hotel their phone number is 4156615679,6.0,6.0,6.0
23,"inform(name='casa melissa',address='615 union st')",You may find the casa melissa at 615 union st .,"['The address for casa melissa is 615 union st .', 'The address of casa melissa is 615 union st .', 'Casa melissa is located at 615 union st']",The address for casa melissa is 615 union st .,5.5,6.0,6.0
24,"inform(name='casa melissa',address='615 union st',phone='4152257377')","Casa melissa is located at 615 union st , and their phone number is 4152257377 .","['The address of casa melissa is 615 union st and the phone number is 4152257377 .', 'Casa melissa is located at 615 union st and the phone number is 4152257377 .', 'Sure . The address for casa melissa is 615 union st. the phone number is 4152257377 .', 'The phone number of the casa melissa is 4152257377 and their address is 615 union st .', ""The casa melissa 's address is 615 union st , the phone number is 4152257377 ."", 'Casa melissa address is 615 union st and the phone number is 4152257377', 'Casa melissa is located at 615 union st and its phone number is 4152257377 .']",The address of casa melissa is 615 union st and the phone number is 4152257377 .,6.0,5.0,5.0
25,"inform(name='casa melissa',area='little italy')",There is a hotel called in the casa melissa and in the area of little italy .,"['Casa melissa is in little italy .', 'Casa melissa is a nice hotel in the area of little italy', 'Casa melissa is in the area of little italy', 'Casa melissa in the area of little italy accepts credit card -s', 'Casa melissa is near the area of little italy']",Casa melissa is in little italy .,6.0,3.0,3.0
26,"inform(name='casa melissa',area='little italy',dogs_allowed='no')",Additionally the casa melissa and in little italy does not allow dogs .,"['Casa melissa near little italy does not allow dogs .', 'Casa melissa is a hotel in little italy that does not allow dogs .', 'Casa melissa is in little italy and does not allow dogs']",Casa melissa near little italy does not allow dogs .,5.5,3.0,3.5
27,"inform(name='casa melissa',phone='4152257377')",You may reach the casa melissa at 4152257377 .,"['The phone number for casa melissa is 4152257377', 'The phone number of casa melissa is 4152257377 .']",The phone number for casa melissa is 4152257377,6.0,5.5,5.0
28,"inform(name='casa melissa',postcode='94133')",Casa melissa postcode is 94133 .,"[""Casa melissa 's post code is 94133 ."", 'Casa melissa postcode is 94133', 'The postcode for casa melissa is 94133 .']",Casa melissa 's post code is 94133 .,6.0,3.5,4.0
29,"inform(name='casa melissa',price_range='moderate',area='little italy')",Casa melissa has a moderate price range in the area of little italy .,"['Casa melissa is a moderate -ly priced hotel in the area of little italy .', 'Casa melissa has a moderate price range in the area of little italy']",Casa melissa is a moderate -ly priced hotel in the area of little italy .,6.0,5.0,4.0
30,"inform(name='chateau tivoli bed and breakfast inn',accepts_credit_cards='yes')",Chateau tivoli bed and breakfast inn accepts credit cards .,"['The chateau tivoli bed and breakfast inn does accept credit card -s .', 'Chateau tivoli bed and breakfast inn is available and accepts credit card -s .', 'Chateau tivoli bed and breakfast inn accepts credit card -s .']",The chateau tivoli bed and breakfast inn does accept credit card -s .,5.0,5.0,5.0
31,"inform(name='chateau tivoli bed and breakfast inn',address='1057 steiner st')",You may find the chateau tivoli bed and breakfast inn at 1057 steiner st .,"['Chateau tivoli bed and breakfast inn adress is 1057 steiner st .', 'The address for chateau tivoli bed and breakfast inn is 1057 steiner st', 'Sure . The address for the chateau tivoli bed and breakfast inn is 1057 steiner st .', 'The chateau tivoli bed and breakfast inn is located at 1057 steiner st', 'The address of chateau tivoli bed and breakfast inn is 1057 steiner st .', 'The chateau tivoli bed and breakfast inn address is 1057 steiner st', 'Chateau tivoli bed and breakfast inn is located at 1057 steiner st']",Chateau tivoli bed and breakfast inn adress is 1057 steiner st .,6.0,6.0,6.0
32,"inform(name='chateau tivoli bed and breakfast inn',area='martin luther king square')",There is a hotel called in the chateau tivoli bed and breakfast inn and in the area of martin luther king square .,"['The chateau tivoli bed and breakfast inn is in the martin luther king square area', 'Chateau tivoli bed and breakfast inn is in martin luther king square', 'I have found a hotel called chateau tivoli bed and breakfast inn in the area martin luther king square .', 'The chateau tivoli bed and breakfast inn is located in martin luther king square .', 'Chateau tivoli bed and breakfast inn is located in the martin luther king square area', 'The chateau tivoli bed and breakfast inn is in martin luther king square .', 'Chateau tivoli bed and breakfast inn is in martin luther king square .']",The chateau tivoli bed and breakfast inn is in the martin luther king square area,5.0,3.5,4.0
33,"inform(name='chateau tivoli bed and breakfast inn',area='martin luther king square',accepts_credit_cards='yes')","Repeats chateau tivoli bed and breakfast inn , accepts credit cards , and in martin luther king square .","['Chateau tivoli bed and breakfast inn in martin luther king square accepts credit card -s', 'Here is a great match . The chateau tivoli bed and breakfast inn is in the area of martin luther king square and accepts credit card -s .']",Chateau tivoli bed and breakfast inn in martin luther king square accepts credit card -s,5.0,4.0,4.0
34,"inform(name='chateau tivoli bed and breakfast inn',near='alamo square')",He chateau tivoli bed and breakfast inn is located near alamo square .,"['Chateau tivoli bed and breakfast inn is near alamo square .', 'The chateau tivoli bed and breakfast inn is a hotel near alamo square']",Chateau tivoli bed and breakfast inn is near alamo square .,5.0,5.0,4.0
35,"inform(name='chateau tivoli bed and breakfast inn',phone='4157765462')",You may reach the chateau tivoli bed and breakfast inn at 4157765462 .,"['The phone number for chateau tivoli bed and breakfast inn is 4157765462', 'You can reach the chateau tivoli bed and breakfast inn at 4157765462', 'The phone number for chateau tivoli bed and breakfast inn is 4157765462 .', 'Chateau tivoli bed and breakfast inn phone number is 4157765462', 'The chateau tivoli bed and breakfast inn has a phone number of 4157765462']",The phone number for chateau tivoli bed and breakfast inn is 4157765462,4.5,4.5,4.5
36,"inform(name='chateau tivoli bed and breakfast inn',price_range='moderate')",The chateau tivoli bed and breakfast inn is a moderate hotel .,"['The price at chateau tivoli bed and breakfast inn is moderate .', 'Chateau tivoli bed and breakfast inn is in the moderate range compared to other hotel -s in our system', 'The chateau tivoli bed and breakfast inn has a moderate price range', 'I have found a hotel for you called the chateau tivoli bed and breakfast inn and it is moderate -ly priced .', 'Chateau tivoli bed and breakfast inn is in the moderate price range']",The price at chateau tivoli bed and breakfast inn is moderate .,5.0,4.5,4.5
37,"inform(name='civic center motor inn',near='soma')",He civic center motor inn is located near soma .,"['Civic center motor inn is near by soma .', 'Civic center motor inn near the soma area', 'The civic center motor inn is near soma .', 'There is the civic center motor inn near soma .']",Civic center motor inn is near by soma .,3.5,2.0,2.5
38,"inform(name='civic center motor inn',type='hotel')",The name is civic center motor inn and it is a nice hotel .,"['The name of the hotel is civic center motor inn .', 'The civic center motor inn is a nice hotel .', 'Civic center motor inn is a nice hotel .']",The name of the hotel is civic center motor inn .,6.0,3.0,4.0
39,"inform(name='columbus motor inn',address='1075 columbus ave',postcode='94133')","The address for columbus motor inn is 1075 columbus ave , 94133 .","['The columbus motor inn is located at 1075 columbus ave postcode 94133', 'Columbus motor inn is at 1075 columbus ave 94133', ""Columbus motor inn 's address is 1075 columbus ave , postcode 94133"", 'The address of columbus motor inn is 1075 columbus ave and their postcode is 94133']",The columbus motor inn is located at 1075 columbus ave postcode 94133,6.0,6.0,6.0
40,"inform(name='columbus motor inn',area='russian hill',price_range='moderate')",Columbus motor inn has a moderate price range in the area of russian hill .,"['Columbus motor inn in russian hill is moderate price range', 'The columbus motor inn is moderate -ly priced near russian hill .', 'Columbus motor inn is in the russian hill area and has a moderate price range .', 'Columbus motor inn is in the area of russian hill and is moderate -ly priced']",Columbus motor inn in russian hill is moderate price range,6.0,6.0,6.0
41,"inform(name='connections sf',price_range='pricey')",The connections sf is a pricey hotel .,['I have found connections sf in the pricey range for you .'],I have found connections sf in the pricey range for you .,6.0,6.0,5.5
42,"inform(name='da vinci villa',address='2550 van ness ave',phone='4155292500')","Da vinci villa is located at 2550 van ness ave , and their phone number is 4155292500 .","['Da vinci villa address is 2550 van ness ave. the phone number is 4155292500', 'The address for da vinci villa is 2550 van ness ave. the phone number is 4155292500 .', 'Da vinci villa is located at 2550 van ness ave , the phone number is 4155292500 .', 'The address for the da vinci villa is 2550 van ness ave. their phone is 4155292500 .', 'Da vinci villa is located at 2550 van ness ave and there phone number is 4155292500', 'Da vinci villa is located at 2550 van ness ave. the phone number is 4155292500', 'The da vinci villa is located at 2550 van ness ave and its phone number is 4155292500 .']",Da vinci villa address is 2550 van ness ave. the phone number is 4155292500,6.0,6.0,6.0
43,"inform(name='da vinci villa',address='2550 van ness ave',postcode='94109')","The address for da vinci villa is 2550 van ness ave , 94109 .","['Da vinci villa is located at 2550 van ness ave. zipcode 94109 .', 'The address of da vinci villa is 2550 van ness ave and their postcode is 94109', 'Da vinci villa is at 2550 van ness ave 94109', 'The address of da vinci villa is 2550 van ness ave , the post code is 94109 .']",Da vinci villa is located at 2550 van ness ave. zipcode 94109 .,6.0,5.0,5.0
44,"inform(name='da vinci villa',area='russian hill')",There is a hotel called in the da vinci villa and in the area of russian hill .,"['Da vinci villa is near russian hill', 'Da vinci villa is in the russian hill area .', 'The da vinci villa is in the area of russian hill .', 'Da vinci villa is a moderate -ly priced hotel in the area of russian hill']",Da vinci villa is near russian hill,5.5,4.0,4.0
45,"inform(name='da vinci villa',price_range='pricey',area='russian hill')",Da vinci villa has a pricey price range in the area of russian hill .,"['The da vinci villa is a pricey hotel in the russian hill area .', 'The da vinci villa is a pricey hotel in russian hill .', 'Da vinci villa in the russian hill area is in the pricey range .', 'Da vinci villa is a pricey hotel in the russian hill area']",The da vinci villa is a pricey hotel in the russian hill area .,5.0,4.0,4.0
46,"inform(name='encore express hotel',price_range='inexpensive')",The encore express hotel is a inexpensive hotel .,"['Encore express hotel is inexpensive', 'The encore express hotel is inexpensive .', 'I found the hotel encore express hotel in your inexpensive price range .']",Encore express hotel is inexpensive,6.0,4.5,4.5
47,"inform(name='encore express hotel',type='hotel')",The name is encore express hotel and it is a nice hotel .,"['The hotel is encore express hotel is a nice hotel', 'The encore express hotel is a nice hotel .']",The hotel is encore express hotel is a nice hotel,4.5,5.0,4.5
48,"inform(name='executive hotel vintage court',address='650 bush st',postcode='94108')","The address for executive hotel vintage court is 650 bush st , 94108 .","['The executive hotel vintage court address is 650 bush st with a post code of 94108 .', 'The executive hotel vintage court is located at 650 bush st. 94108 .', 'The address and post code for the executive hotel vintage court is 650 bush st 94108 .', 'Executive hotel vintage court is located at 650 bush st postal code 94108']",The executive hotel vintage court address is 650 bush st with a post code of 94108 .,5.0,5.0,5.0
49,"inform(name='executive hotel vintage court',dogs_allowed='no')",The executive hotel vintage court does not allow dogs .,"['The executive hotel vintage court does not allow dogs .', 'There is an executive hotel vintage court that does not allow dogs .']",The executive hotel vintage court does not allow dogs .,6.0,6.0,6.0
50,"inform(name='fairmont heritage place c ghirardelli square',address='900 north point and ste d100',phone='4152689900')","Fairmont heritage place c ghirardelli square is located at 900 north point and ste d100 , and their phone number is 4152689900 .","['Yes the address is 900 north point and ste d100 and the phone number of fairmont heritage place c ghirardelli square is 4152689900 .', 'The address for fairmont heritage place c ghirardelli square is 900 north point and ste d100 and the phone number is 4152689900 .', 'Fairmont heritage place c ghirardelli square is located at 900 north point and ste d100 and phone number is 4152689900', 'The fairmont heritage place c ghirardelli square is located at 900 north point and ste d100 and the phone number is 4152689900']",Yes the address is 900 north point and ste d100 and the phone number of fairmont heritage place c ghirardelli square is 4152689900 .,6.0,4.0,4.5
51,"inform(name='fairmont heritage place c ghirardelli square',area='russian hill',price_range='ultra high end')",Fairmont heritage place c ghirardelli square has a ultra high end price range in the area of russian hill .,"['Fairmont heritage place c ghirardelli square is near russian hill with an ultra high end price range', 'Fairmont heritage place c ghirardelli square in russian hill offers ultra high end accomodations .', 'Okay , there is an ultra high end hotel in russian hill called fairmont heritage place c ghirardelli square .', 'Fairmont heritage place c ghirardelli square in the russian hill are is in the ultra high end price range .', 'The fairmont heritage place c ghirardelli square is in the russian hill area and is in the ultra high end price range .']",Fairmont heritage place c ghirardelli square is near russian hill with an ultra high end price range,5.0,2.5,2.5
52,"inform(name='grand hyatt san francisco',dogs_allowed='yes')",Thank you the grand hyatt san francisco allows dogs .,"['Grand hyatt san francisco allows dogs', 'The grand hyatt san francisco does allow dogs .', 'Grand hyatt san francisco is a hotel where dogs are allowed', 'The grand hyatt san francisco allows dogs .', 'Grand hyatt san francisco allows dogs .']",Grand hyatt san francisco allows dogs,4.0,2.0,2.0
53,"inform(name='grand hyatt san francisco',price_range='pricey',dogs_allowed='yes')",The grand hyatt san francisco is in the pricey range and allows dogs .,"['The grand hyatt san francisco is an pricey hotel that allows dogs .', 'The grand hyatt san francisco is in the pricey range and allows dogs .', 'Okay I found a hotel in the pricey price range that allows dogs and their name is the grand hyatt san francisco .', 'The grand hyatt san francisco is in the pricey price range and it allows dogs .']",The grand hyatt san francisco is an pricey hotel that allows dogs .,6.0,6.0,6.0
54,"inform(name='grand hyatt san francisco',price_range='pricey',phone='4153981234')","Grand hyatt san francisco has a pricey price range , and the phone number is 4153981234 .","['Grand hyatt san francisco is in the pricey range . The phone number is 4153981234', 'Grand hyatt san francisco is pricey , the phone number is 4153981234 .']",Grand hyatt san francisco is in the pricey range . The phone number is 4153981234,6.0,4.0,4.0
55,"inform(name='grant hotel',price_range='inexpensive',dogs_allowed='no')",Grant hotel is inexpensively priced and does not allow dogs .,"['Okay I found fairly inexpensive place called the grant hotel to stay that does not let pets in .', 'The grant hotel does not allow dogs and is inexpensive .', 'The grant hotel is inexpensive and does not allow dogs .', 'Grant hotel is in the inexpensive price range and does not allow dogs .']",Okay I found fairly inexpensive place called the grant hotel to stay that does not let pets in .,6.0,6.0,6.0
56,"inform(name='harbor court hotel c a kimpton hotel',address='165 steuart st')",You may find the harbor court hotel c a kimpton hotel at 165 steuart st .,"['Harbor court hotel c a kimpton hotel is located at 165 steuart st', 'The address for the harbor court hotel c a kimpton hotel is 165 steuart st', ""The harbor court hotel c a kimpton hotel 's address is 165 steuart st .""]",Harbor court hotel c a kimpton hotel is located at 165 steuart st,6.0,5.0,5.0
57,"inform(name='harbor court hotel c a kimpton hotel',has_internet='yes')",Harbor court hotel c a kimpton hotel has internet .,['The harbor court hotel c a kimpton hotel has internet service'],The harbor court hotel c a kimpton hotel has internet service,6.0,5.5,5.5
58,"inform(name='harbor court hotel c a kimpton hotel',near='soma')",He harbor court hotel c a kimpton hotel is located near soma .,"['Harbor court hotel c a kimpton hotel does accept credit card -s and are near soma .', 'The harbor court hotel c a kimpton hotel is in the area of soma', 'Ther is a harbor court hotel c a kimpton hotel near soma', 'Harbor court hotel c a kimpton hotel which is near soma .', 'Harbor court hotel c a kimpton hotel are near soma .', 'The harbor court hotel c a kimpton hotel is near soma', 'There is a harbor court hotel c a kimpton hotel near soma']",Harbor court hotel c a kimpton hotel does accept credit card -s and are near soma .,2.5,1.0,1.5
59,"inform(name='harbor court hotel c a kimpton hotel',phone='4158821300')",You may reach the harbor court hotel c a kimpton hotel at 4158821300 .,"['Harbor court hotel c a kimpton hotel phone number is 4158821300', 'You may reach the harbor court hotel c a kimpton hotel at 4158821300', ""The harbor court hotel c a kimpton hotel 's phone number is 4158821300 .""]",Harbor court hotel c a kimpton hotel phone number is 4158821300,5.0,4.0,5.0
60,"inform(name='harbor court hotel c a kimpton hotel',postcode='94105')",Harbor court hotel c a kimpton hotel postcode is 94105 .,['The post code for harbor court hotel c a kimpton hotel is 94105'],The post code for harbor court hotel c a kimpton hotel is 94105,6.0,4.5,4.5
61,"inform(name='harbor court hotel c a kimpton hotel',type='hotel')",The name is harbor court hotel c a kimpton hotel and it is a nice hotel .,"['The harbor court hotel c a kimpton hotel is a nice hotel .', 'A hotel would be harbor court hotel c a kimpton hotel .', 'The harbor court hotel c a kimpton hotel is in the area of soma', 'Harbor court hotel c a kimpton hotel is a nice hotel .', 'Harbor court hotel c a kimpton hotel is a hotel', 'Harbor court hotel c a kimpton hotel is a nice hotel']",The harbor court hotel c a kimpton hotel is a nice hotel .,6.0,6.0,6.0
62,"inform(name='hilton san francisco financial district',accepts_credit_cards='yes')",Hilton san francisco financial district accepts credit cards .,"['Yes , the hilton san francisco financial district does accept credit card -s .']","Yes , the hilton san francisco financial district does accept credit card -s .",5.5,5.0,5.0
63,"inform(name='hilton san francisco financial district',address='750 kearny st',phone='4154336600')","Hilton san francisco financial district is located at 750 kearny st , and their phone number is 4154336600 .","['The phone number for hilton san francisco financial district is 4154336600. the address is 750 kearny st .', ""The hilton san francisco financial district 's address is 750 kearny st. and their phone number is 4154336600 ."", 'The address of the hilton san francisco financial district is 750 kearny st , the phone number is 4154336600 .']",The phone number for hilton san francisco financial district is 4154336600. the address is 750 kearny st .,6.0,6.0,5.5
64,"inform(name='hilton san francisco financial district',dogs_allowed='yes',price_range='pricey')",The hilton san francisco financial district is in the pricey range and allows dogs .,"['The hilton san francisco financial district allows dogs . However , it is pricey .', 'The hilton san francisco financial district allows dogs and is pricey .', 'Great I found a hotel that allows dogs and is in the pricey price range and it is called hilton san francisco financial district', 'The hilton san francisco financial district is a pricey hotel that allows dogs', 'The hilton san francisco financial district allows dogs and is in the pricey range .', 'The hilton san francisco financial district allows dogs . It is in the pricey price range .']","The hilton san francisco financial district allows dogs . However , it is pricey .",5.5,5.5,5.5
65,"inform(name='hilton san francisco financial district',has_internet='yes',area='chinatown')",Hilton san francisco financial district is near chinatown has internet .,"['I found another hotel called the hilton san francisco financial district near chinatown that has internet', 'Hilton san francisco financial district has internet and is in chinatown .']",I found another hotel called the hilton san francisco financial district near chinatown that has internet,6.0,4.0,3.5
66,"inform(name='hilton san francisco financial district',price_range='pricey')",The hilton san francisco financial district is a pricey hotel .,"['The hilton san francisco financial district is pricey .', 'The hilton san francisco financial district is a pricey hotel .', 'The hilton san francisco financial district is in the pricey price range .', 'There is a very pricey hotel called the hilton san francisco financial district']",The hilton san francisco financial district is pricey .,6.0,6.0,5.0
67,"inform(name='hilton san francisco financial district',type='hotel')",The name is hilton san francisco financial district and it is a nice hotel .,['The hotel is the hilton san francisco financial district .'],The hotel is the hilton san francisco financial district .,5.0,3.0,3.5
68,"inform(name='holiday inn express hotel san francisco fishermans wharf',area='fishermans wharf')",There is a hotel called in the holiday inn express hotel san francisco fishermans wharf and in the area of fishermans wharf .,"['Holiday inn express hotel san francisco fishermans wharf is near fishermans wharf', 'The holiday inn express hotel san francisco fishermans wharf is in the area of fishermans wharf .', 'Holiday inn express hotel san francisco fishermans wharf is in the fishermans wharf area .']",Holiday inn express hotel san francisco fishermans wharf is near fishermans wharf,5.0,3.5,3.0
69,"inform(name='holiday inn express hotel san francisco fishermans wharf',price_range='moderate')",The holiday inn express hotel san francisco fishermans wharf is a moderate hotel .,"['Holiday inn express hotel san francisco fishermans wharf is moderate price range', 'The holiday inn express hotel san francisco fishermans wharf is moderate -ly priced .', 'Holiday inn express hotel san francisco fishermans wharf is in the moderate price range .', 'Holiday inn express hotel san francisco fishermans wharf is a moderate price range', 'The holiday inn express hotel san francisco fishermans wharf is in the moderate price range .', 'Yes the holiday inn express hotel san francisco fishermans wharf is in the moderate price range .']",Holiday inn express hotel san francisco fishermans wharf is moderate price range,4.0,3.5,4.0
70,"inform(name='holiday inn express hotel san francisco fishermans wharf',type='hotel')",The name is holiday inn express hotel san francisco fishermans wharf and it is a nice hotel .,"['Holiday inn express hotel san francisco fishermans wharf is a hotel', 'The holiday inn express hotel san francisco fishermans wharf is a nice hotel .', 'Holiday inn express hotel san francisco fishermans wharf is a nice hotel .']",Holiday inn express hotel san francisco fishermans wharf is a hotel,4.0,3.5,4.0
