id,src,sys,refs,ref,informativeness,naturalness,quality
12,"inform(name='X',eattype=restaurant,addr='X',phone='X')",I suggest X restaurant .,"['X is a restaurant on X. its phone number is X .', 'X is a restaurant located at X and its phone number is X']",X is a restaurant on X. its phone number is X .,5.0,5.0,5.0
13,"inform(name='X',eattype=restaurant,area=riverside)",X is a restaurant in the riverside area .,"['X is a restaurant near the river .', 'X is a restaurant on the riverside .']",X is a restaurant near the river .,4.0,6.0,6.0
14,"inform(name='X',eattype=restaurant,area='X')",X is a restaurant in the X area .,['X is a restaurant in the X area .'],X is a restaurant in the X area .,5.0,5.0,6.0
15,"inform(name='X',eattype=restaurant,near='X')",X is a restaurant near X .,"['X is a restaurant near the X', 'X is a restaurant near X .']",X is a restaurant near the X,5.0,5.0,6.0
16,"inform(name='X',eattype=restaurant,phone='X')",X is a restaurant .,"['I would suggest X restaurant , which can be reached at X', 'X is a restaurant and its phone number is X .']","I would suggest X restaurant , which can be reached at X",5.0,6.0,5.0
17,"inform(name='X',eattype=restaurant,postcode='X')",X is a restaurant .,"['X is a restaurant in the X postcode .', 'X is a restaurant located in postcode X']",X is a restaurant in the X postcode .,3.0,6.0,6.0
18,"inform(name='X',food=Chinese,eattype=restaurant,area=riverside)",X is a chinese restaurant in the riverside area .,"['X is a restaurant near the river and it serves chinese food', 'A chinese restaurant alternative for riverside dining is the X']",X is a restaurant near the river and it serves chinese food,5.0,2.0,6.0
19,"inform(name='X',type=placetoeat,area=citycentre,eattype=restaurant)",X is a restaurant in the city centre .,"['X is a restaurant in the centre of city .', 'X is a restaurant in the city centre .']",X is a restaurant in the centre of city .,4.0,4.0,4.0
20,"inform(name='X',type=placetoeat,area=citycentre,near='X',eattype=restaurant)",X is a restaurant in the city centre near X .,"['X is a restaurant near X and the city centre .', 'X is a restaurant near X in the city centre .']",X is a restaurant near X and the city centre .,6.0,6.0,5.0
21,"inform(name='X',type=placetoeat,area=citycentre,near='X',near='X',eattype=restaurant)",X is a restaurant in the city centre near X and X .,"['X is a restaurant in the city centre near X and X', 'X is a restaurant in the city centre , located near X and X']",X is a restaurant in the city centre near X and X,5.0,5.0,5.0
22,"inform(name='X',type=placetoeat,area=riverside,eattype=restaurant)",X is a restaurant in the riverside area .,"['X is a restaurant in the riverside area .', 'X is a restaurant near the river .']",X is a restaurant in the riverside area .,4.0,5.0,4.0
23,"inform(name='X',type=placetoeat,area=riverside,near='X',eattype=restaurant)",X is a restaurant in the riverside area near X .,"['X restaurant is near X on the riverside .', 'X is a restaurant in the riverside area , near X .']",X restaurant is near X on the riverside .,6.0,5.0,5.0
24,"inform(name='X',type=placetoeat,area=riverside,near='X',near='X',eattype=restaurant)",X is a restaurant on the riverside near X .,"['X is a restaurant in the riverside , near X and X', 'X is a riverside area restaurant near X and X .']","X is a restaurant in the riverside , near X and X",5.0,6.0,5.0
25,"inform(name='X',type=placetoeat,area='X',area='X',eattype=restaurant)",X is a restaurant near X and X in the X area .,"['X is a restaurant in the X and X area .', 'X is a restaurant in the X and X areas .']",X is a restaurant in the X and X area .,6.0,6.0,6.0
26,"inform(name='X',type=placetoeat,area='X',eattype=restaurant)",X is a restaurant in the X area .,"['I recommend X restaurant in X', 'X is a restaurant in X .']",I recommend X restaurant in X,3.0,5.0,6.0
27,"inform(name='X',type=placetoeat,area='X',eattype=restaurant,pricerange=moderate)",X is a restaurant in the moderate price range located in the area in the X area .,"['X is a restaurant in the moderate price range in the X area .', 'I recommend X a moderately priced restaurant in X']",X is a restaurant in the moderate price range in the X area .,6.0,4.0,5.0
28,"inform(name='X',type=placetoeat,area='X',near='X',eattype=restaurant)",X is a restaurant in X near X and .,"['X is a restaurant in the X area near X .', 'X is a restaurant in X near X']",X is a restaurant in the X area near X .,4.0,2.0,2.0
29,"inform(name='X',type=placetoeat,area='X',near='X',near='X',eattype=restaurant)",X is a restaurant in X near X and X .,"['I recommend X a restaurant near X and X in X', 'X is a restaurant in the X area near X and X .']",I recommend X a restaurant near X and X in X,6.0,6.0,6.0
30,"inform(name='X',type=placetoeat,area='X',pricerange=expensive,eattype=restaurant)",X is an expensive restaurant in the X area .,"['X is an expensive restaurant in the X area .', 'X is an expensive restaurant in X']",X is an expensive restaurant in the X area .,6.0,6.0,6.0
31,"inform(name='X',type=placetoeat,area='X',pricerange=moderate,eattype=restaurant)",X is a restaurant in the X area .,"['May I suggest the X ? It is a moderately priced restaurant near X .', 'X is a moderately priced restaurant in X']",May I suggest the X ? It is a moderately priced restaurant near X .,3.0,6.0,5.0
32,"inform(name='X',type=placetoeat,eattype=restaurant)",X is a restaurant .,['X is a restaurant .'],X is a restaurant .,3.0,6.0,6.0
33,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre)",X is a restaurant in the city centre .,"['X is a restaurant in the city centre .', 'X is a restaurant in the centre of town .']",X is a restaurant in the city centre .,4.0,6.0,6.0
34,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,food='Cafe food',food=English)",X is a restaurant in the city centre .,"['X is an english cafe food restaurant in the city centre .', 'X is a restaurant that serves cafe and english food in the city centre .']",X is an english cafe food restaurant in the city centre .,4.0,5.0,5.0
35,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,food=Chinese)",X is a chinese restaurant in the city centre area .,"['X is a chinese restaurant in the city centre area .', 'X is a chinese restaurant near the centre of town .']",X is a chinese restaurant in the city centre area .,5.0,4.0,5.0
36,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,food='Chinese takeaway',food=Japanese)",X is a japanese restaurant in the city centre .,"['X is a japanese restaurant in the centre of the city that offers chinese takeaway .', 'The X is a restaurant located in the centre of town having japanese food and chinese food for takeaway .']",X is a japanese restaurant in the centre of the city that offers chinese takeaway .,5.0,5.0,5.0
37,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,food=Italian,food='Takeaway pizza')",X is an italian restaurant in the city centre .,"['I would suggest X , an italian restaurant in the city centre offering takeaway pizza', 'X is an italian restaurant that provides takeaway pizza in the city centre area .']","I would suggest X , an italian restaurant in the city centre offering takeaway pizza",6.0,5.0,4.0
38,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X')",X is a restaurant in the city centre near X .,"[""X is a restaurant located near X in the city 's centre ."", 'X is a restaurant near X in the centre of town .']",X is a restaurant located near X in the city 's centre .,4.0,3.0,4.0
39,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food='Cafe food',food=English)",X is an english restaurant that serves cafe food in the city centre near X .,"['X is an english and cafe food restaurant in the city centre near X', 'X is a restaurant in the city centre located near X that offers english cuisine and cafe food .']",X is an english and cafe food restaurant in the city centre near X,6.0,5.0,6.0
40,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food=Chinese)",X is a chinese restaurant in the city centre and area near X .,"['X is a chinese restaurant near X located in the city centre area .', 'X is a chinese restaurant in the city centre near X .']",X is a chinese restaurant near X located in the city centre area .,6.0,3.0,5.0
41,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food='Chinese takeaway',food=Japanese)",X is a japanese restaurant in the centre of town near X and X .,"['X is a restaurant in the city centre near X and it serves japanese food and chinese takeaway food .', 'X is a chinese takeaway and japanese restaurant in the city centre near X']",X is a restaurant in the city centre near X and it serves japanese food and chinese takeaway food .,6.0,6.0,6.0
42,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food=Italian)",X is an italian restaurant near X and in the city centre .,"['X is an italian restaurant in the city centre near X .', 'X is an italian restaurant in the city centre near X']",X is an italian restaurant in the city centre near X .,6.0,4.0,4.0
43,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food=Italian,food='Takeaway pizza')",X is an italian restaurant in the city centre near X .,"['I recommend X a restaurant near X in the city centre that specialises in take away pizza and italian food .', 'X is a restaurant offering italian food and takeaway pizza in the center of the city near X .']",I recommend X a restaurant near X in the city centre that specialises in take away pizza and italian food .,4.0,4.0,4.0
44,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',near='X')",X is a restaurant in the city centre near X and X .,"['X is a restaurant in the city center , near X and X .', 'The restaurant X is in the centre of the city near X and X']","X is a restaurant in the city center , near X and X .",6.0,6.0,6.0
45,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',near='X',food='Chinese takeaway')",X is a chinese restaurant in the city centre near X and X .,"['X is a restaurant providing chinese takeaway in the centre of town , near X and X .', 'X is a chinese food takeaway restaurant in the city centre near X and X']","X is a restaurant providing chinese takeaway in the centre of town , near X and X .",5.0,4.0,4.0
46,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',near='X',food=Italian)",X is an italian restaurant in the city centre near X and X .,"['X is an italian restaurant in the city centre near X and X .', 'X is an italian restaurant located near X and X in the city centre .']",X is an italian restaurant in the city centre near X and X .,6.0,6.0,6.0
47,"inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,pricerange=cheap,near='X',near='X')",X is a restaurant in the centre of town near X .,"['X is an affordable restaurant located near X and X in the center of the city .', 'X is a cheap restaurant in the city centre , near X and X .']",X is an affordable restaurant located near X and X in the center of the city .,5.0,5.0,6.0
48,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside)",X is a restaurant in the riverside area .,"['X is a restaurant by the river .', 'X is a restaurant in the riverside area .']",X is a restaurant by the river .,5.0,4.0,4.0
49,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,area=citycentre,near='X',food=Chinese)",X is a chinese restaurant in the city centre near X .,"['X is a restaurant serving chinese food on the riverside and also in the centre of the city near X', 'X is a chinese restaurant in the city centre and riverside area near X .']",X is a restaurant serving chinese food on the riverside and also in the centre of the city near X,5.0,6.0,6.0
50,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,area=citycentre,near='X',near='X')",X is a restaurant by the riverside in the centre of the city near X .,"['X is a restaurant in the centre of town and riverside near X and X .', 'X is a restaurant in the centre of town , on the riverside , near to X and X']",X is a restaurant in the centre of town and riverside near X and X .,4.0,4.0,4.0
51,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,area='X',near='X')",X is a restaurant in the riverside near X .,"['X is a restaurant in the X and riverside area near X .', 'X is a riverfront restaurant near X and X']",X is a restaurant in the X and riverside area near X .,2.0,5.0,5.0
52,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,area='X',near='X',near='X')",X is a restaurant in the riverside near X and X .,"['X is a restaurant at the side of the river near X and X in the area of X', 'X is a restaurant in the X and riverside area near X and X .']",X is a restaurant at the side of the river near X and X in the area of X,6.0,6.0,6.0
53,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Chinese)",X is a restaurant near the river in the riverside area .,"['X is a chinese food restaurant in the riverside area .', 'X is a chinese restaurant in the riverside area .']",X is a chinese food restaurant in the riverside area .,3.0,4.0,3.0
54,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food='Chinese takeaway',food=Takeaway)",X is a chinese restaurant in the riverside area that serves food including chinese takeaway .,"['X is a restaurant in the riverside area which serves chinese takeaway food', 'X is a take-out chinese restaurant located by the riverside .']",X is a restaurant in the riverside area which serves chinese takeaway food,5.0,5.0,5.0
55,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Fastfood)",X is a restaurant in the riverside area near the river .,"['X is a fastfood restaurant in the riverside area', 'X is a restaurant in the riverside area which serves fast food']",X is a fastfood restaurant in the riverside area,5.0,3.0,2.0
56,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=French)",X is a french restaurant in the riverside area which serves french food .,"['X is a french restaurant on the riverside .', 'X is a french restaurant in the riverside area .']",X is a french restaurant on the riverside .,5.0,5.0,5.0
57,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Indian)",X is an indian restaurant in the riverside area serves both indian food indian takeaway .,"['X is an indian restaurant in the riverside .', 'X is an indian restaurant in the riverside area .']",X is an indian restaurant in the riverside .,5.0,5.0,5.0
58,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Indian,food='Indian takeaway')",X is an indian restaurant in the riverside area .,"['X is an indian restaurant which offers take-out service located near the riverside .', 'X is an indian restaurant that provides indian takeaway in the riverside area .']",X is an indian restaurant which offers take-out service located near the riverside .,5.0,6.0,6.0
59,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Italian)",X is an italian restaurant in the riverside area which serves italian food .,['X is an italian restaurant in the riverside area .'],X is an italian restaurant in the riverside area .,6.0,5.0,3.0
60,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Italian,food='Takeaway pizza')",X is an italian restaurant in the riverside area that serves italian food .,"['X is an italian restaurant in the riverside area , providing take-away pizza .', 'X is an italian restaurant near the river serving takeaway pizza too .']","X is an italian restaurant in the riverside area , providing take-away pizza .",4.0,4.0,4.0
61,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X')",X is a restaurant near X on the riverside .,"['X is a restaurant in the riverside area near X .', 'I would recommend X a restaurant near X in the riverside']",X is a restaurant in the riverside area near X .,6.0,6.0,5.0
62,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',food=Chinese)",X is a chinese restaurant in the riverside area near X .,"['X is a chinese restaurant in the riverside near X', 'X is a chinese restaurant near the river and X .']",X is a chinese restaurant in the riverside near X,6.0,6.0,6.0
63,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',food=French)",X is a french restaurant in the riverside near X .,"['X is a french restaurant in the riverside area near X .', 'X is a restaurant in the riverside area that serves french food . It is near the X']",X is a french restaurant in the riverside area near X .,6.0,6.0,5.0
64,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',food=Indian,food='Indian takeaway')",X is an indian restaurant near X .,"['X is an indian food restaurant with indian food take out in the riverside near X', 'X is an indian restaurant that provides indian takeaway in the riverside area near X .']",X is an indian food restaurant with indian food take out in the riverside near X,5.0,4.0,6.0
65,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',food=Italian)",X is an italian restaurant in the riverside area near X .,"['X is a restaurant in the riverside area near the X that serves italian food .', 'X is an italian restaurant in the riverside area near X .']",X is a restaurant in the riverside area near the X that serves italian food .,6.0,6.0,4.0
66,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',food=Seafood)",X is a seafood restaurant near X .,"['X is a seafood restaurant near the X section of the riverside area of town .', 'X is a seafood restaurant in the riverside area near X .']",X is a seafood restaurant near the X section of the riverside area of town .,4.0,6.0,5.0
67,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',near='X')",X is a restaurant in the riverside near X .,"['Close to both the X and X you will find the riverside restaurant , the X', 'X is a restaurant in the riverside area near X and X .']","Close to both the X and X you will find the riverside restaurant , the X",4.0,4.0,4.0
68,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',near='X',food=Chinese)",X is a chinese restaurant in the riverside near X and X in the riverside area near X .,"['X is a chinese restaurant in the riverside area near X and X .', 'X is a chinese food restaurant and is located in the riverside area near X and X']",X is a chinese restaurant in the riverside area near X and X .,5.0,3.0,3.0
69,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',near='X',food=Fastfood)",X is a fast food restaurant near X and X .,"['X is a fast food restaurant on the riverside near X and X', 'X is a fast food restaurant in the riverside area near X , and X .']",X is a fast food restaurant on the riverside near X and X,6.0,6.0,6.0
70,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',near='X',food=French)",X is a french and restaurant in the riverside area near X .,"['X is a french restaurant in the riverside area near X and X .', 'X is a french restaurant in the riverside , close to X and X']",X is a french restaurant in the riverside area near X and X .,4.0,2.0,2.0
71,"inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',near='X',food=Italian)",X is an italian restaurant on the riverside near X .,"['X is an italian restaurant in the riverside area , near X and X .', 'X is an italian restaurant in the riverside area near X and X']","X is an italian restaurant in the riverside area , near X and X .",5.0,5.0,5.0
72,"inform(name='X',type=placetoeat,eattype=restaurant,area='X')",X is a restaurant in the X area .,['X is a restaurant in the X area .'],X is a restaurant in the X area .,4.0,5.0,4.0
73,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',area=riverside,near='X',food=Indian)",X is an indian restaurant in X .,"['X is an indian restaurant in the X and riverside areas near X .', 'X is a restaurant in X on the river near to X providing indian food .']",X is an indian restaurant in the X and riverside areas near X .,5.0,5.0,5.0
74,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',area='X')",X is a restaurant in the X and X area .,"['X is a restaurant in the X and X area .', 'X is a restaurant near X and X']",X is a restaurant in the X and X area .,6.0,5.0,6.0
75,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',area='X',food=Indian)",X is an indian restaurant in X .,"['X is an indian restaurant in the X and X areas .', 'X is an indian restaurant in X near X']",X is an indian restaurant in the X and X areas .,3.0,4.0,4.0
76,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',food=Chinese)",X is a restaurant in the X and X area near X .,"['I would suggest X , a chinese restaurant in X', 'May I suggest the X restaurant ? It is a chinese food restaurant near X .']","I would suggest X , a chinese restaurant in X",5.0,4.0,5.0
77,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',food='Chinese takeaway',food=Fusion)",X is a restaurant in X .,"['I would guess X in X , a fusion restaurant that offers chinese takeaway .', 'X is a fusion restaurant that provides chinese takeaway in the X area .']","I would guess X in X , a fusion restaurant that offers chinese takeaway .",5.0,5.0,5.0
78,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',food=Contemporary,food=English)",X is an english restaurant that serves food in the X area .,"[""How about X it 's a restaurant in X that serves contemporary english food ."", 'X is a restaurant in X serving both english food and contemporary food .']",How about X it 's a restaurant in X that serves contemporary english food .,5.0,6.0,6.0
79,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',food=Continental,food=French)",X is a continental restaurant in the X area that serves french and continental food .,"['The restaurant X serves french and continental food in the X area .', 'X is a french and continental restaurant near X']",The restaurant X serves french and continental food in the X area .,6.0,6.0,6.0
80,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',food=Indian)",X is an indian restaurant in X .,"['X is a restaurant in X which serves indian food .', 'I recommend X , an indian restaurant that can be found in X']",X is a restaurant in X which serves indian food .,4.0,5.0,5.0
81,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',food=Indian,food='Indian takeaway')",X is an indian restaurant in X .,"['X is an indian restaurant in the X area that offers indian food to take away .', 'X is a restaurant in X and it serves indian food and indian takeaway too .']",X is an indian restaurant in the X area that offers indian food to take away .,4.0,4.0,4.0
82,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',food=Italian)",X is an italian restaurant in the X area .,"['X is a restaurant that serves italian food in the X area .', 'X is an italian restaurant in X']",X is a restaurant that serves italian food in the X area .,5.0,4.0,5.0
83,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',near='X')",X is a restaurant in the X area near X and X .,"['X is a restaurant near X in the X area .', 'X is a restaurant in the X area near X .']",X is a restaurant near X in the X area .,5.0,6.0,6.0
84,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',near='X',food=Chinese)",X is a restaurant in X near X and X .,"['X is a restaurant in X near X providing chinese food .', 'X is a chinese restaurant in the X area near X .']",X is a restaurant in X near X providing chinese food .,6.0,6.0,6.0
85,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',near='X',food=Contemporary,food=English)",X is an english restaurant in X .,"['X is an english restaurant that serves contemporary food in the X area near X .', 'X is a restaurant located in X serving fashionable and english-style food , and is located near X']",X is an english restaurant that serves contemporary food in the X area near X .,4.0,6.0,5.0
86,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',near='X',food=Indian,food='Indian takeaway')",X is an indian restaurant in X near X .,"['X is an indian restaurant that provides indian takeaway in the X area near X .', 'X is an indian and indian takeaway restaurant in X near X']",X is an indian restaurant that provides indian takeaway in the X area near X .,5.0,5.0,6.0
87,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',near='X',near='X')",X is a restaurant in X near X and X .,"['X is a restaurant in the X area , near X and X .', 'I recommend the restaurant X near X and X in X']","X is a restaurant in the X area , near X and X .",5.0,5.0,5.0
88,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',near='X',near='X',food=Italian)",X is an italian restaurant in the X area near X in X near X and X .,"['X is an italian restaurant in X near X and X', 'X is an italian restaurant in X , near X and X .']",X is an italian restaurant in X near X and X,4.0,3.0,3.0
89,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',pricerange=expensive,food=Continental,food=French)",X is an expensive french continental restaurant in the X area .,"['X is a restaurant that serves french food and in X though they serve continental food , they are in the expensive pricerange .', 'If you feel like french continental cuisine , there is an upscale bistro over near X called X that would do nicely .']","X is a restaurant that serves french food and in X though they serve continental food , they are in the expensive pricerange .",5.0,3.0,4.0
90,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',pricerange=moderate)",X is a restaurant in the X area .,"['X is a moderately priced restaurant in the X area .', 'X is a restaurant in the X area , in the moderate price range']",X is a moderately priced restaurant in the X area .,4.0,6.0,6.0
91,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',pricerange=moderate,food=Indian)",X is an indian restaurant in the X area .,"['X is a moderately priced indian restaurant located in the X area .', 'X is an indian restaurant in the moderate price range located in the X area .']",X is a moderately priced indian restaurant located in the X area .,3.0,4.0,5.0
92,"inform(name='X',type=placetoeat,eattype=restaurant,area='X',pricerange=moderate,near='X',near='X')",X is a restaurant near X in the moderate price range in the X area near X .,"['X is a restaurant in the X area , near X and X. they have a moderate price range .', 'X is an inexpensive restaurant located close to X and close to X in the X locality .']","X is a restaurant in the X area , near X and X. they have a moderate price range .",6.0,6.0,6.0
93,"inform(name='X',type=placetoeat,eattype=restaurant,food='Cafe food',food=English)",X is an english cafe food restaurant serving chinese food .,"['X restaurant is a cafe which serves english food .', 'X is a restaurant specialising in english cafe food .']",X restaurant is a cafe which serves english food .,5.0,6.0,3.0
94,"inform(name='X',type=placetoeat,eattype=restaurant,food=Chinese)","Me I suggest X , chinese restaurant .","['X is a restaurant and serves chinese food', 'I recommend X a chinese restaurant']",X is a restaurant and serves chinese food,4.0,3.0,3.0
95,"inform(name='X',type=placetoeat,eattype=restaurant,food='Chinese takeaway',food=Fusion)",X is a restaurant that provides chinese fusion takeaway .,"['I recommend X a fusion restaurant that offers chinese take away', 'X is a fusion restaurant that provides chinese takeaway .']",I recommend X a fusion restaurant that offers chinese take away,4.0,3.0,4.0
96,"inform(name='X',type=placetoeat,eattype=restaurant,food='Chinese takeaway',food=Japanese)",X is a japanese restaurant which offers chinese takeaway japanese food and japanese food .,"['I would suggest X , a japanese restaurant offering chinese takeaway .', 'X is a japanese restaurant that provides chinese takeaway .']","I would suggest X , a japanese restaurant offering chinese takeaway .",4.0,4.0,3.0
97,"inform(name='X',type=placetoeat,eattype=restaurant,food='Chinese takeaway',food=Takeaway)",X is a chinese takeaway restaurant .,"['The X restaurant is a chinese takeaway restaurant .', 'X is a restaurant that serves take away food including chinese takeaway .']",The X restaurant is a chinese takeaway restaurant .,6.0,6.0,6.0
98,"inform(name='X',type=placetoeat,eattype=restaurant,food=Continental,food=French)",X serves french and continental food takeaway a restaurant that serves me I 'm .,"['X is a restaurant providing french and continental food .', 'X is a continental restaurant serving french food']",X is a restaurant providing french and continental food .,4.0,1.0,1.0
99,"inform(name='X',type=placetoeat,eattype=restaurant,food=Fastfood)",X is a fast food restaurant .,"['X is a restaurant providing fast food .', 'X is a fast food restaurant .']",X is a restaurant providing fast food .,5.0,6.0,6.0
100,"inform(name='X',type=placetoeat,eattype=restaurant,food=Indian)",X is an indian restaurant that provides indian takeaway .,['X is an indian restaurant .'],X is an indian restaurant .,4.0,4.0,5.0
101,"inform(name='X',type=placetoeat,eattype=restaurant,food=Italian)",X is an italian restaurant .,"['X is a restaurant that serves italian food .', 'I recommend X restaurant for italian food']",X is a restaurant that serves italian food .,5.0,6.0,6.0
102,"inform(name='X',type=placetoeat,eattype=restaurant,food=Italian,food='Takeaway pizza')",X is an italian take-out restaurant .,"['X is an italian restaurant that provides takeaway pizza .', 'X is a takeaway restaurant where you can find italian food .']",X is an italian restaurant that provides takeaway pizza .,5.0,5.0,5.0
103,"inform(name='X',type=placetoeat,eattype=restaurant,food=Seafood)",X is a chinese restaurant .,"['X is a seafood restaurant .', 'X is a restaurant providing seafood .']",X is a seafood restaurant .,4.0,6.0,4.0
104,"inform(name='X',type=placetoeat,eattype=restaurant,near='X')",X is a restaurant located near X .,"['X is a restaurant near X', 'You may want to visit X restaurant near X .']",X is a restaurant near X,5.0,5.0,5.0
105,"inform(name='X',type=placetoeat,eattype=restaurant,near='X',area=citycentre)",X is a restaurant in the city centre near X .,"['I would recommend the restaurant X in the city centre near X', 'X is a restaurant in the city centre near X .']",I would recommend the restaurant X in the city centre near X,6.0,5.0,6.0
